I_ARBRE X Y N_ESSENCE NOM N_PARCELLE
15797 67.5 183.5 224 Wapa  4
15806 63 199 224 Wapa  4
15820 64.5 220.5 224 Wapa  4
15827 70 240.5 224 Wapa  4
15831 80 231.5 224 Wapa  4
15838 71.5 227 224 Wapa  4
15848 71.5 210 224 Wapa  4
15849 80.5 206 224 Wapa  4
15865 74.5 184.5 224 Wapa  4
15868 69.5 182 224 Wapa  4
15871 70.5 178 224 Wapa  4
15875 76.5 167.5 224 Wapa  4
15878 70.5 167 224 Wapa  4
15886 77 157.5 224 Wapa  4
15935 86.5 160 224 Wapa  4
15939 81 164 224 Wapa  4
15942 84.5 179.5 224 Wapa  4
15947 85.5 188 224 Wapa  4
15958 90 218 224 Wapa  4
15961 87 222.5 224 Wapa  4
15970 86 240.5 224 Wapa  4
15977 95 244 224 Wapa  4
15979 99.5 241.5 224 Wapa  4
15981 91 237 224 Wapa  4
15985 96.5 232 224 Wapa  4
15994 98 213 224 Wapa  4
16009 99 185 224 Wapa  4
16011 92 181 224 Wapa  4
16013 93 176 224 Wapa  4
16017 94.5 166 224 Wapa  4
16019 92 167.5 224 Wapa  4
16023 94.5 158 224 Wapa  4
16028 82.5 217 224 Wapa  4
16069 102.5 153 224 Wapa  4
16077 100 163 224 Wapa  4
16081 101 168 224 Wapa  4
16082 110 170 224 Wapa  4
16084 98.5 172 224 Wapa  4
16087 108 177 224 Wapa  4
16090 104 181.5 224 Wapa  4
16095 106 189.5 224 Wapa  4
16099 108 195 224 Wapa  4
16106 111.5 213.5 224 Wapa  4
16123 121.5 248 224 Wapa  4
16125 122 245.5 224 Wapa  4
16132 113.5 233.5 224 Wapa  4
16134 119.5 228.5 224 Wapa  4
16138 122 223.5 224 Wapa  4
16154 115 202 224 Wapa  4
16175 117 183.5 224 Wapa  4
16182 122 177 224 Wapa  4
16184 124 173 224 Wapa  4
16185 125 175 224 Wapa  4
16191 116.5 171 224 Wapa  4
16192 116.5 170 224 Wapa  4
16231 105.5 221 224 Wapa  4
16259 108 162 224 Wapa  4
16267 84 146.5 224 Wapa  4
16306 84 146 224 Wapa  4
16307 103.5 172 224 Wapa  4
16321 85.5 238.5 224 Wapa  4
16329 68 152 224 Wapa  4
16355 94.5 168 224 Wapa  4
16367 108 183.5 224 Wapa  4
16465 74 195 224 Wapa  4
16479 80.5 153 224 Wapa  4
16559 67 208 224 Wapa  4
16603 14 210 224 Wapa  4
16640 76 153.5 224 Wapa  4
97759 46.5 214.5 224 Wapa  4
16746 136 177 224 Wapa  4
16749 128 179.5 224 Wapa  4
16755 136.5 185.5 224 Wapa  4
16759 132 187 224 Wapa  4
16760 131 191 224 Wapa  4
16764 138.5 192 224 Wapa  4
16774 138.5 201.5 224 Wapa  4
16787 132.5 215 224 Wapa  4
16797 128 225 224 Wapa  4
16833 148 237.5 224 Wapa  4
16848 152.5 212 224 Wapa  4
16853 142.5 208 224 Wapa  4
16856 151 209.5 224 Wapa  4
16860 147 200 224 Wapa  4
16941 156 182 224 Wapa  4
16945 155 189 224 Wapa  4
16951 156 194 224 Wapa  4
16952 155 196 224 Wapa  4
16954 156 197 224 Wapa  4
16961 155 203.5 224 Wapa  4
16964 153.5 206 224 Wapa  4
16967 158 208 224 Wapa  4
16971 154.5 219.5 224 Wapa  4
16978 154 225 224 Wapa  4
16986 156 239.5 224 Wapa  4
17009 168.5 233.5 224 Wapa  4
17013 167.5 227 224 Wapa  4
17018 167.5 216 224 Wapa  4
17023 164 211.5 224 Wapa  4
17029 171.5 207.5 224 Wapa  4
17030 169 204.5 224 Wapa  4
17032 164.5 201 224 Wapa  4
17132 172 197.5 224 Wapa  4
17138 179 201.5 224 Wapa  4
17150 172 218.5 224 Wapa  4
17153 180 219 224 Wapa  4
17157 174.5 230 224 Wapa  4
17162 175 242 224 Wapa  4
17167 182.5 250 224 Wapa  4
17175 183.5 238 224 Wapa  4
17176 191 238.5 224 Wapa  4
17186 194.5 226.5 224 Wapa  4
17306 197 213 224 Wapa  4
17311 199.5 232 224 Wapa  4
17318 198 239.5 224 Wapa  4
17322 201 249 224 Wapa  4
17324 206 250 224 Wapa  4
17331 207.5 237 224 Wapa  4
17336 204.5 231 224 Wapa  4
17347 210.5 225 224 Wapa  4
17353 208 216 224 Wapa  4
17501 216.5 243.5 224 Wapa  4
17504 211 246 224 Wapa  4
17507 216 250 224 Wapa  4
17513 229 250 224 Wapa  4
17515 228 248.5 224 Wapa  4
17537 222 208 224 Wapa  4
17707 249 241 224 Wapa  4
17791 246 129.5 224 Wapa  4
17797 126 235.5 224 Wapa  4
17809 146 192.5 224 Wapa  4
17842 159 189 224 Wapa  4
17844 165.5 187.5 224 Wapa  4
17856 169.5 190 224 Wapa  4
17860 179.5 245 224 Wapa  4
17870 149 155.5 224 Wapa  4
17884 211.5 209 224 Wapa  4
17885 198.5 202 224 Wapa  4
17915 145.5 208 224 Wapa  4
17920 183.5 226 224 Wapa  4
17944 135.5 198.5 224 Wapa  4
17968 227 240 224 Wapa  4
18001 188.5 228 224 Wapa  4
18029 165 243 224 Wapa  4
18180 138.5 207 224 Wapa  4
18262 141 185.5 224 Wapa  4
19080 107.5 9 224 Wapa  4
19086 106 15 224 Wapa  4
19087 102.5 18 224 Wapa  4
19284 112.5 18.5 224 Wapa  4
19289 113.5 9 224 Wapa  4
19505 115 30.5 224 Wapa  4
19980 106 2 224 Wapa  4
19995 139 15 224 Wapa  4
19999 128 18.5 224 Wapa  4
20013 132 31 224 Wapa  4
20015 139 27 224 Wapa  4
20016 139.5 31 224 Wapa  4
20034 130.5 47.5 224 Wapa  4
20165 151.5 22.5 224 Wapa  4
20183 152 4 224 Wapa  4
20325 161 1.5 224 Wapa  4
20329 174 3.5 224 Wapa  4
20332 174 12.5 224 Wapa  4
20335 179.5 28 224 Wapa  4
20429 182 20 224 Wapa  4
20431 187 8.5 224 Wapa  4
20444 198 2 224 Wapa  4
20448 191 7 224 Wapa  4
20463 194 34 224 Wapa  4
20469 196.5 41.5 224 Wapa  4
20563 201 34 224 Wapa  4
20567 203.5 23.5 224 Wapa  4
20572 203 15 224 Wapa  4
20588 210.5 8 224 Wapa  4
20593 217.5 13.5 224 Wapa  4
20595 217.5 16 224 Wapa  4
20600 212 17.5 224 Wapa  4
20607 217.5 34 224 Wapa  4
20614 219 40 224 Wapa  4
20656 220 100 224 Wapa  4
20686 227 96.5 224 Wapa  4
20690 231 91.5 224 Wapa  4
20712 223 41.5 224 Wapa  4
20741 229.5 13 224 Wapa  4
20746 225 7.5 224 Wapa  4
20766 234 18.5 224 Wapa  4
20796 238.5 75 224 Wapa  4
20804 233 85 224 Wapa  4
20806 237.5 87.5 224 Wapa  4
20807 231.5 87 224 Wapa  4
20814 239 111 224 Wapa  4
20826 250 115 224 Wapa  4
20828 242 113.5 224 Wapa  4
20830 249 104.5 224 Wapa  4
20832 247 102 224 Wapa  4
20833 244 102 224 Wapa  4
20841 248 77 224 Wapa  4
20858 249 48.5 224 Wapa  4
20883 249 125 224 Wapa  4
20951 228 30 224 Wapa  4
20968 167 29 224 Wapa  4
20970 165.5 37.5 224 Wapa  4
21029 170 12 224 Wapa  4
21051 241.5 30.5 224 Wapa  4
21057 222 14 224 Wapa  4
21058 213.5 17.5 224 Wapa  4
21059 212.5 12.5 224 Wapa  4
21092 247 106 224 Wapa  4
21136 195 24 224 Wapa  4
21243 232.5 110 224 Wapa  4
21258 227.5 27.5 224 Wapa  4
21262 217 28.5 224 Wapa  4
21271 134 25.5 224 Wapa  4
21319 225.5 105 224 Wapa  4
21330 227 52 224 Wapa  4
21364 231 27 224 Wapa  4
21366 212.5 11 224 Wapa  4
21371 223 3 224 Wapa  4
21382 150 38.5 224 Wapa  4
97963 200.5 45 224 Wapa  4
104767 235 2 224 Wapa  4
105838 125 26 224 Wapa  4
